Text,Label,Types
Ten outside soon doctor shake everyone treatment seat radio land. ,Not-Bullying,
my life has come to a standstill and at this point.,Not-Bullying,
girl this nigga make me sick to my stomach,Bullying,Ethnicity
I wanna fuck you,Bullying,Sexual
"Oh hey, you should be ashamed of your disgusting self",Not - Bullying,
Haha isn't route running part of the position? People are dumb. But fuck edelman! He just looks like he says,Bullying ,Ethnicity
Racism is when u select yur white clothes to wash first before the black and colored ones,Bullying,Ethnicity
Who are islamists? Those who fully follow the teachings of Muhammed found in the Quran and Hadiths,Bullying,Religion 
Male action movies...ehhhh @That_Damn_Ram Not sexist but female action movies...ehhhh,Bullying ,Religion 
Wishing my arena partner was on.,Not Bullying ,
"I hope this round humbled the girls, they can't cook",Not- Bullying ,
Ha-ha-ha-ha-ha! Islam is against evil ,Bullying,Religion
Thanks to everyone that came out to walk with us and San Benito Bully dog  group.,Not -Bullying,
Dealing with harassment,Not- Bullying ,
"you not only a nigger, you're a dumb nigger. Fuck you and your riots. You want war?",Bullying,Ethnicity
I hate your job too.,Bullying,
Get fucking real dude.,Bullying ,Sexual
Heh. Fuck 'em WHERE?!?,Bullying,Sexual
You know there are people out there who like but don't listen to old school.,Not-Bullying ,
Really miss my classmates n schoolmates. See you all soon people,Not-Bullying ,
Let's talk about what it means to be a victim,Not-Bullying ,
no one ever help.me like my bully,Not-Bullying ,
My friends and me got called niggers by this Mexican chick . ,Bullying ,Ethnicity
Idiot I'm talking about Halal Products not Muslims. Are you saying Halal products means Muslims ?,Bullying ,Religion
"As is said,the basic criteria to be a muslim is to be a chootiya and become katua, that makes you a perfect idiot and follower of Allah",Bullying ,Religion
Israel and US have the same enemies.,Bullying ,Religion
Bangladesh is a looser country ,Bullying,Threats 
Bangladesh are allout o 100 runs.,Bullying,Troll
I love sunny leone and sweet children's ,Not-Bullying ,
Me your big friend from bangladesh,Bullying,Troll
i m not tired babe.....i have been flying like clouds in ur mind,Bullying ,Sexual
Hahaha!  Well take care then. ,Bullying,Troll
Heroalom is fool of bangladesh actor,Bullying,Troll 
Yay! Yaya on the dance floor I like the way she is confident about her body,Not-Bullying,
Bangladesh is a so beautiful Country ,Not-Bullying,
HOLY FUCK! GIRL YOU CANT DO STUFF LIKE THAT!,Bullying ,sexual
Son of a bitch!,Bullying,Threats 
r u a drty slut?,Bullying,Vocational
You are a dirty mind people.,Bullying ,Vocational
Looks like beatiful,Not -Bullying ,
Wishing my arena partner was on.,Not-Bullying,
See you all soon Bebs.,Not-Bullying,
He killed him,Bullying,Threats
Oil your own machine.,Bullying ,Threats
she loves flower,Not-Bullying,
you are a fatty fat fat,Bullying,Troll
Maram wanted to research the roots of her,Bullying ,Ethnicity
You look like a gypsy. Sorry I'm not sorry.,Not-Bullying,Vocational 
"Walked out of the shelter with no puppy, but now I have a date. ",Not bullying ,
wait your fb is banned now ,Bullying,Threats
Heroalom er cehara dekte akebare nispap baccha,Bullying,Troll
The Muslim Brotherhood President of Egypt was removed in 2013 by Obama You guys are idiots.,Bullying,Religion
To RESTRICT Jihadis-Terrorists CONSPIRING Ghazwa-e-Hind Dar-ul-Harb JIHAD against Hindus-Hindutva-Hindusthan-Humanity,Bullying,Religion
Hindus are son of bitches,Bullying,Religion
Bnp are not power to the election ,Bullying,Political
Hey girl your sexy figure is so nice,Bullying,Sexual
I love my country,Not-Bullying,
 None of them can show anything in her past but current plans.,Bullying,Ethnicity 
Have not seen a white girl/boy act as dumb or hateful as a nigger or beaner since election but fuck white people we are racists!,Bullying ,Ethnicity 
kimjonun is a dangerous person ,Bullying,Political
"Shut the fuck up, Red, you dumb nigger",Bullying,Ethnicity
Fuck u baby ,Bullying ,Sexual
Looks like pretty ,Not-Bullying,
"Sister, your baby is so cute",Not-Bullying,
